Timestamp,Date,Image_Filename,Num_Buttons,Expected_Buttons,Button_Count_OK,Max_Distance_mm,Expected_Distance_mm,Distance_OK,YOLO_Defects,Color_Defects,Total_Defects,Alert
12:24:02,2025-12-19,original_20251219_122403_234409.jpg,3,3,YES,40.8,40.0,YES,0,0,0,
12:24:03,2025-12-19,original_20251219_122404_259278.jpg,3,3,YES,41.5,40.0,YES,0,0,0,
12:24:06,2025-12-19,original_20251219_122406_534869.jpg,3,3,YES,41.4,40.0,YES,0,0,0,
12:24:08,2025-12-19,original_20251219_122409_383435.jpg,3,3,YES,38.5,40.0,YES,0,0,0,
12:24:11,2025-12-19,original_20251219_122412_418310.jpg,3,3,YES,40.5,40.0,YES,0,0,0,
12:24:14,2025-12-19,original_20251219_122415_286898.jpg,3,3,YES,39.9,40.0,YES,0,0,0,
12:24:17,2025-12-19,original_20251219_122417_666351.jpg,3,3,YES,39.8,40.0,YES,0,0,0,
12:24:19,2025-12-19,original_20251219_122420_372466.jpg,3,3,YES,39.8,40.0,YES,0,0,0,
12:24:22,2025-12-19,original_20251219_122423_319514.jpg,3,3,YES,39.8,40.0,YES,0,0,0,
12:24:23,2025-12-19,original_20251219_122424_268424.jpg,3,3,YES,40.6,40.0,YES,0,0,0,
12:24:25,2025-12-19,original_20251219_122426_164928.jpg,3,3,YES,39.6,40.0,YES,0,0,0,
12:24:28,2025-12-19,original_20251219_122428_824823.jpg,3,3,YES,40.2,40.0,YES,0,0,0,
12:24:32,2025-12-19,original_20251219_122433_431119.jpg,3,3,YES,42.0,40.0,YES,0,0,0,
12:24:35,2025-12-19,original_20251219_122436_503384.jpg,3,3,YES,43.5,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 43.5mm (Expected: 40.0mm ±3mm)
12:24:37,2025-12-19,original_20251219_122437_589196.jpg,3,3,YES,43.1,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 43.1mm (Expected: 40.0mm ±3mm)
12:24:38,2025-12-19,original_20251219_122438_554219.jpg,3,3,YES,43.5,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 43.5mm (Expected: 40.0mm ±3mm)
12:24:39,2025-12-19,original_20251219_122439_524087.jpg,3,3,YES,42.8,40.0,YES,0,0,0,
12:24:41,2025-12-19,original_20251219_122441_541759.jpg,3,3,YES,42.4,40.0,YES,0,0,0,
12:24:43,2025-12-19,original_20251219_122444_535390.jpg,3,3,YES,41.6,40.0,YES,0,0,0,
12:24:47,2025-12-19,original_20251219_122447_787084.jpg,3,3,YES,42.5,40.0,YES,0,0,0,
12:24:52,2025-12-19,original_20251219_122453_114339.jpg,3,3,YES,42.2,40.0,YES,0,0,0,
12:24:56,2025-12-19,original_20251219_122457_318280.jpg,3,3,YES,43.3,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 43.3mm (Expected: 40.0mm ±3mm)
12:24:58,2025-12-19,original_20251219_122458_573455.jpg,3,3,YES,43.5,40.0,NO,0,0,1,DISTANCE OUT OF RANGE: 43.5mm (Expected: 40.0mm ±3mm)
12:25:00,2025-12-19,original_20251219_122500_623329.jpg,3,3,YES,42.7,40.0,YES,0,0,0,
12:25:04,2025-12-19,original_20251219_122504_710630.jpg,2,3,NO,43.1,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 43.1mm (Expected: 40.0mm ±3mm)"
12:25:15,2025-12-19,original_20251219_122515_517022.jpg,3,4,NO,43.0,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 4, Found 3 | DISTANCE OUT OF RANGE: 43.0mm (Expected: 40.0mm ±3mm)"
12:25:16,2025-12-19,original_20251219_122516_708424.jpg,3,4,NO,41.6,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
12:25:17,2025-12-19,original_20251219_122517_881272.jpg,3,4,NO,41.4,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
12:25:18,2025-12-19,original_20251219_122518_901916.jpg,3,4,NO,41.4,40.0,YES,0,0,1,"BUTTON COUNT MISMATCH: Expected 4, Found 3"
12:25:57,2025-12-19,original_20251219_122558_561614.jpg,3,3,YES,45.4,40.0,NO,0,1,2,DISTANCE OUT OF RANGE: 45.4mm (Expected: 40.0mm ±3mm) | COLOR DEFECT ×1
12:25:59,2025-12-19,original_20251219_122559_768117.jpg,3,3,YES,41.3,40.0,YES,0,0,0,
12:26:00,2025-12-19,original_20251219_122600_995332.jpg,3,3,YES,40.3,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:02,2025-12-19,original_20251219_122602_976194.jpg,3,3,YES,43.5,40.0,NO,0,1,2,DISTANCE OUT OF RANGE: 43.5mm (Expected: 40.0mm ±3mm) | COLOR DEFECT ×1
12:26:03,2025-12-19,original_20251219_122604_143957.jpg,3,3,YES,41.1,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:05,2025-12-19,original_20251219_122606_063004.jpg,3,3,YES,44.7,40.0,NO,0,1,2,DISTANCE OUT OF RANGE: 44.7mm (Expected: 40.0mm ±3mm) | COLOR DEFECT ×1
12:26:06,2025-12-19,original_20251219_122607_030307.jpg,2,3,NO,23.0,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 23.0mm (Expected: 40.0mm ±3mm)"
12:26:08,2025-12-19,original_20251219_122608_923357.jpg,2,3,NO,22.3,40.0,NO,0,1,3,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.3mm (Expected: 40.0mm ±3mm) | COLOR DEFECT ×1"
12:26:09,2025-12-19,original_20251219_122609_906637.jpg,1,3,NO,0.0,40.0,N/A,0,0,1,"BUTTON COUNT MISMATCH: Expected 3, Found 1"
12:26:10,2025-12-19,original_20251219_122610_916671.jpg,2,3,NO,22.0,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.0mm (Expected: 40.0mm ±3mm)"
12:26:11,2025-12-19,original_20251219_122611_862197.jpg,1,3,NO,0.0,40.0,N/A,0,0,1,"BUTTON COUNT MISMATCH: Expected 3, Found 1"
12:26:13,2025-12-19,original_20251219_122613_907515.jpg,3,3,YES,38.0,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:14,2025-12-19,original_20251219_122615_118966.jpg,3,3,YES,40.4,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:15,2025-12-19,original_20251219_122616_298763.jpg,3,3,YES,41.4,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:17,2025-12-19,original_20251219_122618_307198.jpg,3,3,YES,41.0,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:18,2025-12-19,original_20251219_122619_244359.jpg,3,3,YES,42.5,40.0,YES,0,0,0,
12:26:19,2025-12-19,original_20251219_122620_367315.jpg,3,3,YES,39.2,40.0,YES,0,1,1,COLOR DEFECT ×1
12:26:20,2025-12-19,original_20251219_122621_360096.jpg,1,3,NO,0.0,40.0,N/A,0,0,1,"BUTTON COUNT MISMATCH: Expected 3, Found 1"
12:26:21,2025-12-19,original_20251219_122622_318868.jpg,2,3,NO,22.8,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.8mm (Expected: 40.0mm ±3mm)"
12:26:22,2025-12-19,original_20251219_122623_270502.jpg,2,3,NO,22.9,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.9mm (Expected: 40.0mm ±3mm)"
12:26:23,2025-12-19,original_20251219_122624_210707.jpg,2,3,NO,22.7,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.7mm (Expected: 40.0mm ±3mm)"
12:26:24,2025-12-19,original_20251219_122625_199877.jpg,2,3,NO,22.7,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.7mm (Expected: 40.0mm ±3mm)"
12:26:25,2025-12-19,original_20251219_122626_150704.jpg,2,3,NO,22.4,40.0,NO,0,0,2,"BUTTON COUNT MISMATCH: Expected 3, Found 2 | DISTANCE OUT OF RANGE: 22.4mm (Expected: 40.0mm ±3mm)"
12:26:27,2025-12-19,original_20251219_122628_340971.jpg,3,3,YES,45.9,40.0,NO,0,1,2,DISTANCE OUT OF RANGE: 45.9mm (Expected: 40.0mm ±3mm) | COLOR DEFECT ×1
